person_id,title,firm,start_date,end_date,location
1,Database Administrator,Family Private Care LLC,04/2017,Present,"Roswell, GA"
1,Database Administrator,Incomm,01/2014,02/2017,"Alpharetta, GA"
2,Database Administrator,Intercontinental Registry,12/2008,08/2011,"Lagos, GU"
3,Oracle Database Administrator,Cognizant,06/2016,Present,"Hyderabad, Telangana"
3,Oracle Database Administrator,Convergys,06/2014,06/2016,"Hyderabad, Telangana"
4,"Amazon Redshift Administrator and ETL Developer, Business Intelligence","MSP Recovery - Fort Lauderdale, FL",02/18,Present,"Plantation, FL"
4,Database Administrator,"CEAACES - Quito, Provincia de Pichincha",11/14,12/15,QUITO ECUADOR
4,Database Administrator,"Ceige - Havana, IL",09/07,10/14,"CEIGE, LA HAVANA CUBA"
5,Scrum Master,Quest Technologies,10/2015,04/2019,"Washington, DC"
5,Oracle Database Administrator/ Scrum Master,Prudential,06/2013,10/2015,"Richmond, VA"
5,Junior Oracle Database Administrator,Time Warner Cable,05/2012,06/2013,"Richmond, VA"
6,Oracle Database Administrator,SUNTRUST BANK,02/2015,Present,"Tampa, FL"
6,Oracle Database Administrator,ESTES-EXPRESS,03/2013,02/2015,"Richmond, VA"
6,Field Service Representative / Technician,ROCHE DIAGNOSTICS FOR ADECCO TECHNICAL,10/2009,03/2013,"Columbia, MD"
7,Oracle Database Administrator,Caresource,06/17,Present,"Cincinnati, OH"
7,Oracle Database Administrator,Anthem,04/16,06/17,"Indianapolis, IN"
7,Production Support Database Administrator,PNC Bank,03/13,04/16,"Columbus, OH"
8,Lead Database Administrator/Developer,Department of Housing and Urban Development,2017,Present,"Bowie, MD"
8,Production Support Database Administrator,Citi Group,2016,2017,
8,Oracle Database Administrator,Citi Group,2014,2015,
8,Database Administrator,"University of Maryland, University College",2012,2014,
9,Database Administrator / Database Developer,"Dominion Diagnostics, LLC",04/2019,Present,"North Kingstown, RI"
9,Database Administrator,Teknor Apex Company,12/2016,03/2019,"Pawtucket, RI"
9,Senior Database Specialist,CVS Health,09/2015,11/2016,
9,Database Specialist,CVS Health,05/2014,09/2015,
9,Technical Support Consultant,CVS Health,06/2013,05/2014,
9,Consumer Relations Representative,Kaz USA Inc,06/2012,06/2013,"Southborough, MA"
10,Oracle Database Administrator,Uber Technologies Inc,11/2017,Present,"Greenbelt, MD"
10,Database Administrator / Developer,SYSCO,03/2015,10/2017,
10,NFI Junior DBA,NFI,03/2012,01/2015,
11,Database Administrator,Booz Allen Hamilton,10/2018,Present,"Los Angeles, CA"
11,Database Administrator,Huntington National Bank,01/2016,09/2018,"Columbus, OH"
11,Oracle Database Administrator,Coca Cola,03/2011,12/2015,"Atlanta, GA"
12,Senior Oracle Database Administrator,United Health group,01/2016,Present,"Hyattsville, MD"
12,Oracle Database Administrator,Weatherford laboratories,02/2014,12/2016,"Houston, TX"
12,Database Administrator,Walmart,01/2011,05/2014,"Washington, DC"
13,Database Administrator,First Tennessee Bank,07/2016,Present,"Charlotte, NC"
13,Oracle Database Administrator,United Airlines,08/2012,07/2016,"Chicago, IL"
14,Database Administrator,City of Iowa City,08/16,Present,"Iowa City, IA"
14,Database development,"ITS, University",2016,Present,"Iowa City, IA"
14,Student Administrator,Library IT,2014,01/16,"Iowa City, IA"
14,Receptionist,Office of Statewide Clinical Education Programs,04/13,11/13,"Iowa City, IA"
15,SQL Database Administrator/SQL DBA,Bureau of Indian Affairs,08/2016,05/2019,"Washington, DC"
15,SQL Database Administrator/SQL DBA,Census Bureau,11/2012,07/2016,"Suitland, MD"
16,SQL DBA/ Database Administrator,,2014/01,2016/12,
16,SQL DBA/ Database Administrator,,2003/01,2008/12,
17,SQL Database Administrator/Developer,Avant Network,06/2017,Present,"Richmond, VA"
17,Database Administrator/Developer,ITSC PLC,09/2013,08/2014,"Addis Ababa, ETH"
17,Graphics Design Assistant,SEMS STUDIO PLC,10/2009,11/2011,"Addis Ababa, ETH"
18,SQL Server Database Administrator,FEDERAL RESERVE BANK,02/18,Present,"Fort Worth, TX"
18,SQL Server Database Administrator,OMNITRACS LLC,03/15,02/18,"Dallas, TX"
18,SQL Database Administrator Support,Nationstar Mortgage LLC,05/11,03/15,"Lewisville, TX"
19,SQL Developer / DBA,United Medical Center,10/18,Present,"Washington, DC"
19,SQL Database Analyst,Winrock International,09/17,03/18,"Arlington, VA"
19,Database Administrator,Clutch Group,08/16,06/17,"Arlington, VA"
19,Database Analyst,"Driven, Inc",07/15,08/16,"Arlington, VA"
19,Application Support Analyst,"Driven, Inc",07/13,07/15,"Arlington, VA"
19,Technical Support Specialist,Active-Edge-Techs,08/10,06/13,"Arlington, VA"
20,Systems Administrator,Automann,11/2018,Present,"Somerset, NJ"
20,Database Analyst,Hadassah,08/2017,11/2018,"New York, NY"
20,Systems/ Database Administrator,"Sango America, Inc",09/2014,12/2017,"Fairview, NJ"
20,Contract Installation/Network Technician,Hewlett-Packard,02/2014,08/2014,"East Hanover, NJ"
20,Quality Control Technician,Sanofi Genzyme Biosurgery,05/2011,05/2013,"Ridgefield, NJ"
21,Oracle Database Administrator,Sedgwick CMS,07/15,Present,"Memphis, TN"
21,Oracle Database Administrator,3M Companies Inc,08/12,06/15,"Dallas, TX"
22,Oracle Database Administrator,Department of Education:Osseo School District ISD 279,05/2014,Present,"Minneapolis, MN"
22,Oracle Database Administrator,IBM,03/2013,05/2014,"Fargo, ND"
